"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"205765_at" -4.14649156111111 4.929019876 -16.4085392915233 1.64879321629178e-21 9.01477691007531e-17 37.5602814799894
"218963_s_at" -4.04757372857143 3.815031344 -16.0844007950651 3.7634890703689e-21 1.0288438246121e-16 36.817129576147
"214234_s_at" -3.87349205912698 3.830050546 -14.0757652804384 8.16809744138036e-19 1.48863575869157e-14 31.9095466811922
"1559063_at" -2.71948181746032 3.79162557 -13.2105723934531 9.62078159576572e-18 1.31504058437123e-13 29.6271040818672
"209270_at" -4.10754481904762 3.905765816 -12.7574858266979 3.6340463819871e-17 3.9738297187029e-13 28.3896307052698
"216158_at" -2.81820952896825 3.070825482 -12.6907385207283 4.42973258585662e-17 4.03659381886184e-13 28.2048488238285
"226755_at" -3.34821051507937 3.645998072 -12.6124942670094 5.59101232291296e-17 4.36697998221808e-13 27.9874245713869
"205856_at" -4.330771125 6.09376819 -11.8438119548174 5.74127519065771e-16 3.92380276311513e-12 25.8045027273907
"1553328_a_at" -4.04715125039682 4.157149714 -11.7981333800984 6.60935522905006e-16 4.01518330164791e-12 25.6720975836412
"238584_at" -2.30959381785715 3.472612194 -11.7248120603588 8.29011142365654e-16 4.53261842088421e-12 25.4589363795551
"203798_s_at" -4.26064756507937 4.550155946 -11.6585914574685 1.01786739845645e-15 5.05926363732787e-12 25.2657515405531
"244321_at" -1.88631632023809 4.957792078 -11.3790323551683 2.43599964971185e-15 1.10990234039996e-11 24.443229296336
"233212_at" -2.75815886587302 4.371071888 -11.1147993330806 5.60921319775883e-15 2.35910562759588e-11 23.6554800252098
"210102_at" -2.3961182079365 6.473412576 -11.0706808553445 6.45298565275512e-15 2.52012136117419e-11 23.52297850891
"202504_at" -4.96486183849206 4.541381162 -11.0291628666226 7.3642909827829e-15 2.68428406322437e-11 23.3980337857687
"211401_s_at" -3.59017838452381 5.932288006 -10.9438439399273 9.66776182781636e-15 3.30365548709912e-11 23.1405046334295
"211834_s_at" -3.54586665912698 3.917157534 -10.8071406257762 1.49811096325168e-14 4.81818923034033e-11 22.7257248332522
"209863_s_at" -4.50602070714286 4.186197148 -10.7324753708223 1.9049017182253e-14 5.78613896910934e-11 22.4980650067781
"233072_at" -3.84059246904762 7.340600708 -10.6696452435409 2.33292611842578e-14 6.71330186973313e-11 22.3058845146929
"204934_s_at" 2.60266991309523 7.999596266 10.595124568842 2.96884943927665e-14 7.75900832007165e-11 22.0772294572146
"211194_s_at" -4.90695346428572 5.30161757 -10.5939527859861 2.98014036984919e-14 7.75900832007165e-11 22.0736278331646
"219195_at" -3.24818624404762 4.29798489 -10.4955647440368 4.10130596524215e-14 9.74951754998324e-11 21.7705382222389
"204734_at" -4.99578054880952 6.183141612 -10.3316701347672 7.00013088435576e-14 1.5600967471606e-10 21.2626787039255
"212236_x_at" -3.98988392619048 6.882048216 -10.3259028712801 7.13350135875903e-14 1.5600967471606e-10 21.2447404430577
"205082_s_at" -2.84404248769841 3.912585716 -10.2795369207195 8.30355205764983e-14 1.74614118750771e-10 21.1003603999288
"201820_at" -5.10424328293651 5.375494772 -10.2134414512361 1.03155147834151e-13 2.08889174364155e-10 20.894037456774
"225511_at" -2.054070825 5.075684006 -10.1240484520419 1.38452241886445e-13 2.70352725897906e-10 20.6140470199553
"207781_s_at" -2.878655125 4.09726216 -10.0979851397412 1.50884027991747e-13 2.84468421739613e-10 20.5322104618717
"236682_at" -1.98852795992063 2.975573526 -9.98338842954441 2.20424022895741e-13 4.01722781727488e-10 20.1713075974214
"213945_s_at" 2.19236936269841 6.064062134 9.94933742547295 2.46776838274514e-13 4.35242697827711e-10 20.0637328630743
"243183_at" -2.74076181111111 3.538143046 -9.92249276355919 2.69781745397573e-13 4.60947404050385e-10 19.9788164308146
"222853_at" -2.37056552460318 3.597466008 -9.90210871472597 2.88688740578424e-13 4.78304754276526e-10 19.9142730448966
"209351_at" -2.86434622380953 3.776613526 -9.86278545759924 3.29033254492176e-13 5.29114505569404e-10 19.7896067946815
"214235_at" -3.17267225674603 5.000297418 -9.80919596422668 3.93357844742793e-13 6.14481147466063e-10 19.6193864217568
"241726_at" 2.8154723484127 9.802689048 9.77426561647461 4.4199119772223e-13 6.71274131540637e-10 19.5082330943862
"232716_at" -2.10816819087302 3.627110274 -9.73662892206555 5.01223286838727e-13 7.26658506628271e-10 19.3882907887938
"212732_at" -3.09181568809524 6.602734926 -9.734360676043 5.05039291300856e-13 7.26658506628271e-10 19.381056393025
"203638_s_at" -3.52201849285715 5.189829378 -9.68143418207489 6.02918053532589e-13 8.25449990292278e-10 19.2120634445615
"235077_at" -2.19015013888889 3.56265575 -9.67708238732913 6.11772942280457e-13 8.25449990292278e-10 19.1981522767843
"205551_at" -3.1569899218254 3.538184042 -9.67358081786456 6.18993134009756e-13 8.25449990292278e-10 19.1869572220957
"231785_at" -1.47931008571429 2.856202474 -9.66147828115298 6.44618059320484e-13 8.39154580793988e-10 19.1482514787778
"225806_at" -2.6688310781746 3.938906088 -9.64245264399285 6.87086337267124e-13 8.73638267211162e-10 19.0873667985799
"229151_at" -5.4567943484127 6.589038962 -9.63072455385725 7.14662615873209e-13 8.83044254778187e-10 19.0498122973862
"58916_at" -2.59938593174603 3.226068972 -9.62571274219154 7.26785394879166e-13 8.83044254778187e-10 19.0337586446463
"213139_at" -2.32730320436508 7.07253305 -9.58110818427805 8.44259768077081e-13 9.98270909503652e-10 18.8907425545887
"222744_s_at" -2.25729680079365 5.684191032 -9.57625807005634 8.5813868763917e-13 9.98270909503652e-10 18.8751764027974
"205157_s_at" -4.73608334484127 5.399950706 -9.56113723391019 9.02905021512686e-13 1.02846525106679e-09 18.8266279352977
"244581_at" -4.06509277261905 6.578840818 -9.48549887099757 1.16488787547026e-12 1.29064668727907e-09 18.5833448944497
"242784_at" -3.42707628174603 6.16347377 -9.48160431995373 1.18028960885146e-12 1.29064668727907e-09 18.5707991186025
"219669_at" -6.06430749087302 6.035019628 -9.34250598659968 1.88891468835449e-12 2.02502765854474e-09 18.1214841281502
"200875_s_at" 1.22522838095238 10.25127222 9.31439864688657 2.07774581039726e-12 2.18462984968212e-09 18.0304044264841
"223183_at" 1.6412862984127 5.495686892 9.2885382829347 2.26828506758451e-12 2.33997143528647e-09 17.9465214697958
"244333_at" -2.75207002857143 3.489299508 -9.26630262789983 2.44617294889254e-12 2.47675011075369e-09 17.8743315557605
"204971_at" -4.05405360674603 7.134163196 -9.16813091131046 3.41611208568594e-12 3.39592596881598e-09 17.554903760674
"211002_s_at" -3.64361125119048 4.768063742 -9.05823611419051 4.97079596501046e-12 4.85318338190976e-09 17.1959885245534
"208228_s_at" -2.80190173690476 6.410036178 -9.00286324858397 6.00774144554523e-12 5.76268883395062e-09 17.014613596747
"230577_at" -4.45142671230159 4.83103016 -8.99447639387506 6.18281526676328e-12 5.82836939155659e-09 16.9871118452383
"206237_s_at" -2.1632570984127 3.760867782 -8.98094200097797 6.47626529553921e-12 6.00152211921366e-09 16.942713756684
"204989_s_at" -2.87577752420635 5.116568504 -8.9578003910725 7.01094886729269e-12 6.38872715532046e-09 16.8667523902729
"232929_at" -3.49401222103175 6.544625008 -8.93386761262196 7.61082482185784e-12 6.82166962516521e-09 16.7881308262117
"235111_at" -2.98539051031746 3.795710904 -8.91665336679778 8.07407900085867e-12 7.12016563503142e-09 16.731540772121
"205960_at" -3.4273302468254 5.254496508 -8.91113639296858 8.22848520058737e-12 7.14114965622404e-09 16.713397317181
"204973_at" 2.50587436904762 6.71781981 8.87615553257513 9.27927737511707e-12 7.92725766382072e-09 16.5982787401785
"236503_at" 1.30048425277778 5.573910212 8.83053876359662 1.0855695426791e-11 9.13130996091994e-09 16.4479564652624
"212412_at" 2.04528447619048 12.08787218 8.79982505941006 1.20667089399807e-11 9.996171383234e-09 16.3466171642489
"229244_at" -2.38873331666667 3.241900812 -8.79169262395873 1.24095865475218e-11 1.01267782759067e-08 16.3197672882919
"202987_at" -2.31256526984127 5.70559867 -8.76945383792665 1.339822492264e-11 1.06366581803715e-08 16.2463079263016
"216918_s_at" -4.13087046150794 7.149398732 -8.76890740367465 1.34234918051328e-11 1.06366581803715e-08 16.2445022731994
"203632_s_at" -2.36956499007937 8.8838846 -8.76357015515551 1.36728241638069e-11 1.06794523022306e-08 16.2268640387451
"218631_at" -2.19348136825397 3.870217672 -8.7440412739856 1.46255985756775e-11 1.12627408750024e-08 16.1623002432383
"209152_s_at" 1.16656444007936 6.545719754 8.72700320663334 1.55113900502562e-11 1.17789618194133e-08 16.1059381967659
"226926_at" -1.45130834206349 2.798157458 -8.68071964332669 1.82004650634264e-11 1.36316496896279e-08 15.9526776319078
"1553764_a_at" -2.19199262936508 3.790160364 -8.62806950596689 2.18359403537227e-11 1.61335140383755e-08 15.7780642713017
