"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"206600_s_at" -2.8299175985 8.57461716075 -10.4285718390652 5.92265244335758e-06 0.0163769293864464 4.26675863478235
"1566624_at" -4.95859656125 2.001073515125 -10.41281357955 5.99064632334573e-06 0.0163769293864464 4.25777645195611
"225655_at" 3.725347869 8.16402355725 10.1898522504764 7.05225834188675e-06 0.0183610583258409 4.12860909330417
"221233_s_at" -5.25711782975 5.309522188625 -9.91847033975557 8.63803178107271e-06 0.0211547006258608 3.96600314332881
"204825_at" 3.63133110025 7.728885937375 9.87916338378639 8.8990967424746e-06 0.0211547006258608 3.94194673371209
"240048_at" -2.70818844625 5.026664611125 -9.7521130064565 9.80502173740978e-06 0.0220215889749747 3.86329618741047
"226950_at" 3.65570737675 4.799564612625 9.63123556929505 1.07633116319327e-05 0.0220215889749747 3.7871797737287
"213806_at" -2.2350040815 4.6948797235 -9.61257132764355 1.09203807112972e-05 0.0220215889749747 3.77531344127776
"228273_at" 2.78501075025 7.895292547125 9.51986302282864 1.17394109279785e-05 0.0220215889749747 3.71591593390136
"237338_at" -2.4552735045 4.99524940125 -9.51538976654112 1.17806267168197e-05 0.0220215889749747 3.71303065428556
"206557_at" -1.978531226 8.7659075055 -9.4419078691791 1.2481289712306e-05 0.0220215889749747 3.66537771205127
"220133_at" -3.00431957475 6.964838155125 -9.39367909315499 1.29663637924678e-05 0.0220215889749747 3.63383662013926
"233594_at" -2.45076799025 4.038528607125 -9.37183284964194 1.31929719831636e-05 0.0220215889749747 3.61947982795074
"236378_at" -3.15883830075 6.714396170125 -9.3562794868859 1.33569939041406e-05 0.0220215889749747 3.60923199248162
"33767_at" -6.83003458 11.1103348175 -9.33483148877781 1.35869185137624e-05 0.0220215889749747 3.59506393034516
"235351_at" -2.96206539975 3.610760488125 -9.32495581968187 1.36942665779449e-05 0.0220215889749747 3.58852607982237
"1557129_a_at" 3.12192035275 5.701472143375 9.27878426249454 1.42088468215303e-05 0.0220248395351743 3.557840427194
"238320_at" 2.9235067825 9.30097143625 9.21980108113127 1.48978159082859e-05 0.0220248395351743 3.51835233782693
"202503_s_at" 2.70304885075 10.265206842125 9.18065614436141 1.53755794387433e-05 0.0220248395351743 3.49196592428538
"218662_s_at" 2.32906149175 7.310808488875 9.15932304122673 1.56431175901239e-05 0.0220248395351743 3.47752520010281
"214806_at" 2.229353073 7.389397307 9.13580776984356 1.5944045939379e-05 0.0220248395351743 3.4615574664654
"207373_at" -4.2340785325 5.2624461775 -9.11933925623862 1.61586339309248e-05 0.0220248395351743 3.45034350370882
"231785_at" -4.8420713325 5.4398025995 -9.08328056495218 1.66398078465845e-05 0.0220248395351743 3.42569971336193
"203717_at" -2.893656328 11.860106011 -9.01707619608879 1.75653585067758e-05 0.0220248395351743 3.38012874181599
"214710_s_at" 2.72746273125 8.811506575125 8.97741294190572 1.81472418861333e-05 0.0220248395351743 3.35262418445331
"204623_at" 3.692099017 10.100365049 8.95478711800617 1.848876943333e-05 0.0220248395351743 3.33686571309109
"220413_at" -6.55241971575 6.660866552375 -8.94985990398898 1.85640888664451e-05 0.0220248395351743 3.33342737149776
