"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"208920_at" -192.300360096154 407.874626190476 -10.3387354959788 2.23017099312309e-09 0.000121934599049005 3.92192041643934
"214721_x_at" -198.099052596154 347.036921904762 -9.14727748803507 1.65725690999929e-08 0.000453052607771057 3.33531280771226
"212119_at" -701.785268653846 1506.74221285714 -8.81754575672291 2.9752092381572e-08 0.00054223188365415 3.14799042307694
"214013_s_at" -35.4952795 51.4931682380952 -8.64287006529953 4.07892720438047e-08 0.000557538362248756 3.04384735175524
"224316_at" -96.3416806923076 178.150546952381 -8.46157296624074 5.6827549853659e-08 0.000621409257649761 2.93199753763628
"218823_s_at" -206.60323125 374.695432857143 -8.306615049736 7.5702671283266e-08 0.000689840592068762 2.8332624166766
"200791_s_at" -1173.4678 4626.28195238095 -8.05280994486878 1.21915797739318e-07 0.000901485400641082 2.665069252229
"239068_at" -41.0376664711539 65.7162709047619 -8.01129692926762 1.31904585370437e-07 0.000901485400641082 2.63677282760202
"226390_at" -287.114255480769 294.25819 -7.8905983617307 1.66057969544528e-07 0.000996041130186736 2.55321428067865
"236600_at" -63.3210487980769 63.8993413809524 -7.84232720490478 1.82174875205622e-07 0.000996041130186736 2.51925381928279
"203632_s_at" -351.753259903846 441.845085714286 -7.57511747772934 3.05933892324747e-07 0.00152063050571414 2.32551202112047
"212526_at" -247.79507375 416.194253333333 -7.51481275876027 3.4436070782577e-07 0.00156899347503117 2.28041234969844
"202724_s_at" -266.866596442308 659.290717619048 -7.4600782750069 3.83563538286215e-07 0.00161317972736914 2.23903091127933
"204462_s_at" -74.6933378942307 96.0476151428571 -7.39372280373148 4.37358608774541e-07 0.00170804156676772 2.18828704084089
"1557938_s_at" -244.702305192308 200.405238095238 -7.35620979130942 4.71168314058262e-07 0.00171740850474237 2.15931795899118
"221541_at" -1777.81578076923 2639.29402380952 -7.23605772321932 5.98838098311154e-07 0.00204634206407265 2.06514592521347
"213386_at" -94.0269771346154 77.5447324285714 -7.16311622381421 6.9332879791671e-07 0.00222986776624095 2.00693440739393
"206434_at" -68.0982610096154 50.0154832857143 -7.0824371147495 8.15984835843138e-07 0.00247855393887353 1.94161906493028
"225125_at" -695.786445192308 1622.8095952381 -7.03244652263211 9.03040501661799e-07 0.00259861786465047 1.90065412320201
"209737_at" -339.353140769231 383.554501190476 -6.93252608806545 1.10698572536751e-06 0.00294551187521749 1.81762942153079
"211985_s_at" -1254.74943326923 1481.44486333333 -6.89603336184381 1.19284860527865e-06 0.00294551187521749 1.78692388394998
"1555127_at" -8.61818470192308 14.5641539047619 -6.88252814354822 1.22634205615214e-06 0.00294551187521749 1.77550805166444
"235759_at" -147.012917173077 121.803254904762 -6.87749106673517 1.23908135582995e-06 0.00294551187521749 1.77124300332013
"238006_at" -109.708386442308 399.149803333333 -6.80997341482202 1.42364867434891e-06 0.00315372044797774 1.71369187039793
"1568876_a_at" -12.4120174134615 20.100827047619 -6.80375018639554 1.44203038316312e-06 0.00315372044797774 1.70835139150646
"229222_at" -126.550298288462 128.290072904762 -6.70850432076944 1.75601078903438e-06 0.00369268807270979 1.62585529030376
"218062_x_at" -750.59970326923 1404.32025333333 -6.66879657357998 1.90699226106252e-06 0.0038616593286516 1.59103892142826
"200713_s_at" -802.906400961538 2359.45696666667 -6.60143423758458 2.19445513943371e-06 0.00428506552673351 1.53139980468383
"214812_s_at" -224.43507 554.945884285714 -6.53923109315503 2.49957209786462e-06 0.00471255532588786 1.47568239826748
"238492_at" -70.0851909615384 104.495826904762 -6.49586514507759 2.73787503232528e-06 0.00498977724641282 1.43646908356761
"208816_x_at" -211.533403653846 396.038207619048 -6.35301408443211 3.7020565070477e-06 0.00636774167389409 1.30513693163501
"217795_s_at" -216.888605673077 500.123123809524 -6.34986269461478 3.72689041727684e-06 0.00636774167389409 1.30220209324349
"232086_at" -16.6805145865384 41.5127562857143 -6.31362087004128 4.02511782535276e-06 0.00651663789169552 1.26833355417937
"214604_at" -44.5472878461538 45.3271805238095 -6.31044286775757 4.05241313795423e-06 0.00651663789169552 1.26535337518181
"218487_at" -176.609922211538 271.062051904762 -6.29550369362619 4.18329693598038e-06 0.00653490742784935 1.25132187552818
"230238_at" -106.1688525 86.6214821428571 -6.27536733262079 4.36662586339666e-06 0.00663181303003367 1.23235083290998
"236224_at" -116.376423461538 320.975867142857 -6.22836399563804 4.827413491902e-06 0.00702419035568119 1.18780744186179
"218843_at" -62.5268935576923 71.6581916666667 -6.20653766581357 5.05810048997953e-06 0.00702419035568119 1.16699929822827
"227688_at" -123.335918038461 140.831496095238 -6.20287486464255 5.0979098456328e-06 0.00702419035568119 1.16349964030051
"211984_at" -1120.49654961538 1819.14845380952 -6.19913690657815 5.13886811572469e-06 0.00702419035568119 1.15992588286648
"221861_at" -91.5936639999999 150.051550380952 -6.17540295261157 5.40694283905627e-06 0.00721035609086346 1.13718050127659
"228096_at" -78.7362999999999 118.889545952381 -6.14128307004032 5.81774011850733e-06 0.00749563798843836 1.10431808220688
"210102_at" -137.014102538461 146.460661047619 -6.1346115308985 5.90174156286525e-06 0.00749563798843836 1.09786982173074
"204083_s_at" -7143.95325769231 10589.8444952381 -6.11408921082347 6.16803475359658e-06 0.00749563798843836 1.07798794173778
"234926_s_at" -190.222190576923 636.596663333333 -6.11399770372307 6.1692493732003e-06 0.00749563798843836 1.07789913343857
"238612_at" -74.85862625 125.256561904762 -6.09341127967041 6.44884519835859e-06 0.00757503260597888 1.05788443808818
"201136_at" -413.684821153846 681.740621428571 -6.08106694613457 6.62270982326537e-06 0.00757503260597888 1.04584908830952
